__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1781193318.802821,-5.611785815,-2.400235154,0.000000000,,,,,
1781193318.803844,-5.617479241,-2.367755342,0.000000000,,,,,
1781193318.803899,,,,1781193318.803686380,0.773251640,-0.361070757,-0.794611927,-0.239998670
1781193318.804851,-5.623070301,-2.335975153,0.000000000,,,,,
1781193318.804894,,,,1781193318.804695368,0.772884128,-0.366706181,-0.794854800,-0.242339777
1781193318.805835,-5.628725013,-2.303954234,0.000000000,,,,,
1781193318.805876,,,,1781193318.805683851,0.772513027,-0.372316534,-0.795098637,-0.244636211
1781193318.806883,-5.634339887,-2.272276400,0.000000000,,,,,
1781193318.806962,,,,1781193318.806742668,0.772129182,-0.378037429,-0.795349374,-0.246943394
1781193318.808042,-5.640052592,-2.240170391,0.000000000,,,,,
1781193318.808119,,,,1781193318.807833195,0.771745754,-0.383673877,-0.795598397,-0.249182133
1781193318.809055,-5.645666042,-2.208738289,0.000000000,,,,,
1781193318.809136,,,,1781193318.808784723,0.771357858,-0.389299191,-0.795848874,-0.251382909
1781193318.810321,-5.651255004,-2.177559396,0.000000000,,,,,
1781193318.810395,,,,1781193318.810050011,0.770940794,-0.395262158,-0.796116547,-0.253680578
1781193318.811197,-5.657170194,-2.144696146,0.000000000,,,,,
1781193318.811324,,,,1781193318.810914278,0.770557961,-0.400667510,-0.796360893,-0.255729807
1781193318.812391,-5.662512888,-2.115110889,0.000000000,,,,,
1781193318.812624,,,,1781193318.812114477,0.770151218,-0.406335708,-0.796618999,-0.257847042
1781193318.812855,-5.668106902,-2.084253752,0.000000000,,,,,
1781193318.812867,,,,1781193318.812703609,0.769749403,-0.411865491,-0.796872538,-0.259880431
1781193318.814809,,,,1781193318.814349890,0.769099406,-0.420632744,-0.797279033,-0.263054958
1781193318.814861,,,,1781193318.814579964,0.768942271,-0.422744833,-0.797377088,-0.263800961
1781193318.816981,-5.673550959,-2.054330990,0.000000000,,,,,
1781193318.817065,-5.682226028,-2.006997531,0.000000000,,,,,
1781193318.817077,-5.684278881,-1.995775806,0.000000000,,,,,
1781193318.817261,,,,1781193318.817048073,0.768107091,-0.433691322,-0.797892503,-0.267644323
1781193318.817744,-5.695118721,-1.937190814,0.000000000,,,,,
1781193318.817803,,,,1781193318.817543030,0.767712738,-0.438809457,-0.798134596,-0.269385253
1781193318.818571,-5.700103168,-1.910267357,0.000000000,,,,,
1781193318.818691,,,,1781193318.818130016,0.767483615,-0.441765826,-0.798274827,-0.270376017
1781193318.819186,-5.702963995,-1.894828918,0.000000000,,,,,
1781193318.819243,,,,1781193318.818949699,0.767133908,-0.446235148,-0.798487881,-0.271860964
1781193318.820642,-5.707299438,-1.871517419,0.000000000,,,,,
1781193318.820730,,,,1781193318.820324183,0.766531760,-0.453808038,-0.798851902,-0.274344239
1781193318.821848,-5.714685510,-1.832053321,0.000000000,,,,,
1781193318.821990,,,,1781193318.821546793,0.766205622,-0.457878506,-0.799048242,-0.275649178
1781193318.822854,-5.718616064,-1.811074249,0.000000000,,,,,
1781193318.822925,,,,1781193318.822556734,0.765602441,-0.465291828,-0.799408623,-0.277996962
1781193318.823460,,,,1781193318.823174477,0.765140309,-0.470910900,-0.799683145,-0.279736781
1781193318.823517,-5.725818766,-1.772870551,0.000000000,,,,,
1781193318.824093,-5.731245183,-1.744169281,0.000000000,,,,,
1781193318.824164,,,,1781193318.823855400,0.764829170,-0.474667669,-0.799867258,-0.280880065
1781193318.824883,-5.734852896,-1.725117987,0.000000000,,,,,
1781193318.824943,,,,1781193318.824784994,0.764354381,-0.480336284,-0.800146580,-0.282585258
1781193318.826051,-5.740314139,-1.696406834,0.000000000,,,,,
1781193318.826147,,,,1781193318.825826406,0.763847492,-0.486319402,-0.800442961,-0.284353419
1781193318.827142,-5.746073878,-1.666245382,0.000000000,,,,,
1781193318.827209,,,,1781193318.826887131,0.763337227,-0.492275449,-0.800739495,-0.286080552
1781193318.828165,-5.751798581,-1.636379795,0.000000000,,,,,
1781193318.828268,,,,1781193318.827837229,0.762876072,-0.497605917,-0.801006025,-0.287597064
1781193318.829166,-5.756907622,-1.609808595,0.000000000,,,,,
1781193318.829217,,,,1781193318.828850269,0.762339433,-0.503738819,-0.801314233,-0.289312012
1781193318.830528,-5.762788705,-1.579349573,0.000000000,,,,,
1781193318.830611,,,,1781193318.830138445,0.761829246,-0.509509273,-0.801605513,-0.290893463
1781193318.830801,-5.768310098,-1.550851977,0.000000000,,,,,
1781193318.830831,,,,1781193318.830689192,0.761369354,-0.514663713,-0.801866688,-0.292279271
1781193318.832031,-5.773229239,-1.525537727,0.000000000,,,,,
1781193318.832091,,,,1781193318.831733704,0.760832534,-0.520616617,-0.802169685,-0.293852287
1781193318.832857,-5.778914058,-1.496399842,0.000000000,,,,,
1781193318.832910,,,,1781193318.832752466,0.760301698,-0.526443745,-0.802467511,-0.295361171
1781193318.833877,-5.784470390,-1.468020822,0.000000000,,,,,
1781193318.833925,,,,1781193318.833709717,0.759775732,-0.532160884,-0.802760868,-0.296812104
1781193318.834893,,,,1781193318.834743023,0.759214649,-0.538197008,-0.803071867,-0.298313664
1781193318.834946,-5.789914213,-1.440312137,0.000000000,,,,,
1781193318.835810,-5.795659397,-1.411179942,0.000000000,,,,,
1781193318.836411,,,,1781193318.835682631,0.758696768,-0.543717269,-0.803357286,-0.299657788
1781193318.836836,,,,1781193318.836695194,0.758144077,-0.549551312,-0.803660056,-0.301050379
1781193318.836877,-5.800901821,-1.384680274,0.000000000,,,,,
1781193318.837789,,,,1781193318.837653160,0.757598364,-0.555257940,-0.803957242,-0.302383839
1781193318.837831,-5.806440513,-1.356783952,0.000000000,,,,,
1781193318.838879,-5.811851267,-1.329623097,0.000000000,,,,,
1781193318.838951,,,,1781193318.838686705,0.757032879,-0.561115048,-0.804263331,-0.303723816
1781193318.840081,-5.817401192,-1.301861386,0.000000000,,,,,
1781193318.840136,,,,1781193318.839748383,0.756454041,-0.567053346,-0.804574723,-0.305052733
1781193318.841021,-5.823023685,-1.273835240,0.000000000,,,,,
1781193318.841104,,,,1781193318.840780973,0.755878722,-0.572900949,-0.804882348,-0.306331945
1781193318.844288,-5.828554084,-1.246360897,0.000000000,,,,,
1781193318.844390,,,,1781193318.844058990,0.754146489,-0.590013141,-0.805792459,-0.309991166
1781193318.845013,-5.845112079,-1.165210880,0.000000000,,,,,
1781193318.845391,,,,1781193318.844852209,0.753501348,-0.596336617,-0.806129183,-0.311251738
1781193318.846357,-5.851073836,-1.135988783,0.000000000,,,,,
1781193318.846392,,,,1781193318.845824718,0.752901517,-0.602165012,-0.806440356,-0.312383323
1781193318.846887,-5.856558547,-1.109187878,0.000000000,,,,,
1781193318.846946,,,,1781193318.846722364,0.752314749,-0.607818734,-0.806742954,-0.313454096
1781193318.848020,-5.861873109,-1.083298090,0.000000000,,,,,
1781193318.848068,,,,1781193318.847714186,0.751700068,-0.613690074,-0.807058001,-0.314539143
1781193318.848858,-5.867391109,-1.056505672,0.000000000,,,,,
1781193318.848899,,,,1781193318.848664045,0.751088554,-0.619481999,-0.807369524,-0.315582060
1781193318.849779,-5.872829913,-1.030180125,0.000000000,,,,,
1781193318.849814,,,,1781193318.849669456,0.750462912,-0.625357495,-0.807686280,-0.316612708
1781193318.851180,-5.878344664,-1.003571984,0.000000000,,,,,
1781193318.851233,,,,1781193318.850958586,0.749781331,-0.631700012,-0.808029062,-0.317695525
1781193318.852192,-5.884299903,-0.974939685,0.000000000,,,,,
