__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1781198442.198271,-5.493163796,-4.078655686,0.000000000,,,,,
1781198442.199530,-5.496800667,-4.067997817,0.000000000,,,,,
1781198442.200806,-5.504275896,-4.046125429,0.000000000,,,,,
1781198442.201431,-5.515119483,-4.014457769,0.000000000,,,,,
1781198442.202426,-5.521205947,-3.996689604,0.000000000,,,,,
1781198442.202527,,,,1781198442.202142239,0.771050500,-0.385268976,-0.798465575,-0.334588069
1781198442.203487,-5.527594481,-3.978055633,0.000000000,,,,,
1781198442.203723,,,,1781198442.203052282,0.770654482,-0.390869391,-0.798808654,-0.338618531
1781198442.204063,-5.535746507,-3.954305649,0.000000000,,,,,
1781198442.204438,,,,1781198442.203910351,0.770283106,-0.396060117,-0.799129645,-0.342326381
1781198442.205010,-5.543374690,-3.932100165,0.000000000,,,,,
1781198442.205073,,,,1781198442.204906225,0.769874869,-0.401693788,-0.799481608,-0.346322531
1781198442.206415,-5.551737852,-3.907778707,0.000000000,,,,,
1781198442.206534,,,,1781198442.206056356,0.769460634,-0.407339516,-0.799837835,-0.350296469
1781198442.207659,-5.560202906,-3.883181985,0.000000000,,,,,
1781198442.207818,,,,1781198442.207377911,0.769031362,-0.413117140,-0.800206022,-0.354331495
1781198442.208286,-5.568952839,-3.857778804,0.000000000,,,,,
1781198442.208350,,,,1781198442.208105803,0.768622583,-0.418556008,-0.800555757,-0.358099160
1781198442.209368,-5.577266471,-3.833658566,0.000000000,,,,,
1781198442.209453,,,,1781198442.209025145,0.768200174,-0.424110904,-0.800916222,-0.361917441
1781198442.210012,-5.585836594,-3.808811749,0.000000000,,,,,
1781198442.210079,,,,1781198442.209883928,0.767788748,-0.429462152,-0.801266436,-0.365566294
1781198442.211180,-5.594165416,-3.784678778,0.000000000,,,,,
1781198442.211293,,,,1781198442.210960150,0.767342719,-0.435195567,-0.801645077,-0.369445181
1781198442.212460,-5.603171839,-3.758600035,0.000000000,,,,,
1781198442.212541,,,,1781198442.212290049,0.766810424,-0.441944252,-0.802095504,-0.373972190
1781198442.213336,-5.613886700,-3.727599815,0.000000000,,,,,
1781198442.213421,,,,1781198442.213094234,0.766429580,-0.446730169,-0.802417030,-0.377150021
1781198442.213968,-5.621541936,-3.705454760,0.000000000,,,,,
1781198442.214019,,,,1781198442.213888884,0.766011730,-0.451927818,-0.802768909,-0.380576066
1781198442.214977,-5.629921948,-3.681225121,0.000000000,,,,,
1781198442.215054,,,,1781198442.214866161,0.765558024,-0.457510916,-0.803149940,-0.384226674
1781198442.216010,-5.638999151,-3.654992404,0.000000000,,,,,
1781198442.216084,,,,1781198442.215875864,0.765098984,-0.463100472,-0.803534389,-0.387849619
1781198442.217086,-5.648162019,-3.628522385,0.000000000,,,,,
1781198442.217233,,,,1781198442.216897011,0.764620909,-0.468859643,-0.803933634,-0.391549457
