__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1781200245.507993,-6.270350844,-0.775569110,0.000000000,,,,,
1781200245.509163,-6.266282663,-0.761180534,0.000000000,,,,,
1781200245.509996,-6.261970651,-0.746159446,0.000000000,,,,,
1781200245.510906,-6.257382856,-0.730424987,0.000000000,,,,,
1781200245.511062,,,,1781200245.510750294,0.777536013,-0.296512525,-0.787718385,-0.069260474
1781200245.511927,-6.253108585,-0.716046540,0.000000000,,,,,
1781200245.512011,,,,1781200245.511600971,0.777247025,-0.302486582,-0.787785208,-0.069944566
1781200245.512714,-6.248950663,-0.702289466,0.000000000,,,,,
1781200245.512805,,,,1781200245.512561798,0.776946048,-0.308581540,-0.787854097,-0.070629549
1781200245.513599,-6.244721241,-0.688499998,0.000000000,,,,,
1781200245.513682,,,,1781200245.513467789,0.776635870,-0.314735819,-0.787924372,-0.071308078
1781200245.514854,-6.240463904,-0.674823268,0.000000000,,,,,
1781200245.514917,,,,1781200245.514594555,0.776299313,-0.321273173,-0.787999813,-0.072015006
1781200245.515801,-6.235959406,-0.660542924,0.000000000,,,,,
1781200245.515935,,,,1781200245.515614510,0.775969608,-0.327550146,-0.788072971,-0.072679893
1781200245.516868,-6.231647678,-0.647092685,0.000000000,,,,,
1781200245.516946,,,,1781200245.516643047,0.775636830,-0.333763404,-0.788146080,-0.073325076
1781200245.517674,-6.227394767,-0.634013951,0.000000000,,,,,
1781200245.517722,,,,1781200245.517470360,0.775310880,-0.339738067,-0.788217013,-0.073933359
1781200245.518728,-6.223318792,-0.621657865,0.000000000,,,,,
1781200245.518812,,,,1781200245.518568754,0.774956201,-0.346115356,-0.788293428,-0.074570398
1781200245.520457,-6.218988203,-0.608671419,0.000000000,,,,,
1781200245.520630,,,,1781200245.520092726,0.774551900,-0.353233430,-0.788379577,-0.075267065
1781200245.521307,,,,1781200245.520910501,0.774213909,-0.359082604,-0.788450949,-0.075826552
1781200245.521589,-6.214182132,-0.594400805,0.000000000,,,,,
1781200245.522138,-6.210242337,-0.582922898,0.000000000,,,,,
1781200245.522233,,,,1781200245.521994114,0.773838337,-0.365464603,-0.788529489,-0.076425597
1781200245.522997,-6.205966424,-0.570572846,0.000000000,,,,,
1781200245.523096,,,,1781200245.522691488,0.773523258,-0.370738849,-0.788594852,-0.076910508
1781200245.524442,-6.202441773,-0.560554369,0.000000000,,,,,
1781200245.524618,,,,1781200245.524103880,0.773098785,-0.377709221,-0.788681993,-0.077540465
1781200245.524802,-6.197818520,-0.547437794,0.000000000,,,,,
1781200245.524830,,,,1781200245.524686575,0.772702769,-0.384099321,-0.788762521,-0.078104887
1781200245.526496,-6.193598661,-0.535632752,0.000000000,,,,,
1781200245.526627,,,,1781200245.526179790,0.772310353,-0.390326080,-0.788841586,-0.078643387
1781200245.526802,-6.189506946,-0.524308872,0.000000000,,,,,
1781200245.526826,,,,1781200245.526663542,0.771912924,-0.396529631,-0.788920934,-0.079168886
1781200245.527819,-6.185451831,-0.513191940,0.000000000,,,,,
1781200245.527949,,,,1781200245.527553558,0.771567882,-0.401840787,-0.788989291,-0.079609539
1781200245.533058,-6.181992520,-0.503829012,0.000000000,,,,,
1781200245.533073,,,,1781200245.529110193,0.771087251,-0.409103633,-0.789083515,-0.080201457
1781200245.533151,-6.177303487,-0.491119532,0.000000000,,,,,
1781200245.533168,,,,1781200245.529469728,0.770739154,-0.414293915,-0.789151248,-0.080614105
1781200245.533186,-6.173960418,-0.482227633,0.000000000,,,,,
1781200245.533191,,,,1781200245.531990767,0.769960010,-0.425596640,-0.789300446,-0.081496923
1781200245.533201,-6.166808113,-0.462795238,0.000000000,,,,,
1781200245.533214,,,,1781200245.532456160,0.769504301,-0.432100390,-0.789386910,-0.081985005
